Date,Location,Time,Zone,Easting,Northing,freq,dB,Notes
3/20/2022,Trinidad,9:25 AM,10T,402927,4546896,3212.982,57,Two SOSP countersinging right on the cliffs above the ocean. Analyzing both songs heard
3/20/2022,Trinidad,9:25 AM,10T,402927,4546896,4137.931,57,Two SOSP countersinging right on the cliffs above the ocean. Analyzing both songs heard
3/20/2022,Trinidad,10:25 AM,10T,403644,4546196,2490.066,52.4,
3/23/2022,Trinidad,8:18,10T,402946,4546917,3115.619,39,
3/23/2022,Trinidad,9:02,10T,403025,4547026,3973.51,52.4,
3/23/2022,Trinidad,9:09,10T,403102,4547048,3699.797,52.7,
3/27/2022,Trinidad,9:28,10T,403034,4547039,4291.391,52.7,
3/27/2022,Trinidad,9:42,10T,402930,4546893,3390.728,57.2,
4/2/2022,Trinidad,9:02,10T,403027,4547032,2596.026,52.2,
4/2/2022,Trinidad,9:10,10T,402929,4546885,3337.748,55.1,
4/2/2022,Trinidad,9:50,10T,402999,4546991,3943.205,44.1,
4/2/2022,Trinidad,10:07,10T,403110,4547069,2490.066,43.7,
4/2/2022,Trinidad,10:38,10T,403599,4546101,3814.57,56,
